Question_item,Instruction Prompt_Item,Model_Item,Question,Instruction Prompt,Model,Dataset,Visualization,Task,Question_Answer
40,1,1,What was the number of girls named 'Amelia' in 2010 in UK?,StackedAreaChart_Prompt_v1.txt,gpt-4o,StackedArea.csv,Stacked Area Chart,Retrieve Value,4227
40,1,2,What was the number of girls named 'Amelia' in 2010 in UK?,StackedAreaChart_Prompt_v1.txt,gpt-4o-mini,StackedArea.csv,Stacked Area Chart,Retrieve Value,4227
40,1,3,What was the number of girls named 'Amelia' in 2010 in UK?,StackedAreaChart_Prompt_v1.txt,o1,StackedArea.csv,Stacked Area Chart,Retrieve Value,4227
40,1,4,What was the number of girls named 'Amelia' in 2010 in UK?,StackedAreaChart_Prompt_v1.txt,o1-mini,StackedArea.csv,Stacked Area Chart,Retrieve Value,4227
40,2,1,What was the number of girls named 'Amelia' in 2010 in UK?,StackedAreaChart_Prompt_v2.txt,gpt-4o,StackedArea.csv,Stacked Area Chart,Retrieve Value,4227
40,2,2,What was the number of girls named 'Amelia' in 2010 in UK?,StackedAreaChart_Prompt_v2.txt,gpt-4o-mini,StackedArea.csv,Stacked Area Chart,Retrieve Value,4227
40,2,3,What was the number of girls named 'Amelia' in 2010 in UK?,StackedAreaChart_Prompt_v2.txt,o1,StackedArea.csv,Stacked Area Chart,Retrieve Value,4227
40,2,4,What was the number of girls named 'Amelia' in 2010 in UK?,StackedAreaChart_Prompt_v2.txt,o1-mini,StackedArea.csv,Stacked Area Chart,Retrieve Value,4227
40,3,1,What was the number of girls named 'Amelia' in 2010 in UK?,StackedAreaChart_Prompt_v3.txt,gpt-4o,StackedArea.csv,Stacked Area Chart,Retrieve Value,4227
40,3,2,What was the number of girls named 'Amelia' in 2010 in UK?,StackedAreaChart_Prompt_v3.txt,gpt-4o-mini,StackedArea.csv,Stacked Area Chart,Retrieve Value,4227
40,3,3,What was the number of girls named 'Amelia' in 2010 in UK?,StackedAreaChart_Prompt_v3.txt,o1,StackedArea.csv,Stacked Area Chart,Retrieve Value,4227
40,3,4,What was the number of girls named 'Amelia' in 2010 in UK?,StackedAreaChart_Prompt_v3.txt,o1-mini,StackedArea.csv,Stacked Area Chart,Retrieve Value,4227
40,4,1,What was the number of girls named 'Amelia' in 2010 in UK?,StackedAreaChart_Prompt_v4.txt,gpt-4o,StackedArea.csv,Stacked Area Chart,Retrieve Value,4227
40,4,2,What was the number of girls named 'Amelia' in 2010 in UK?,StackedAreaChart_Prompt_v4.txt,gpt-4o-mini,StackedArea.csv,Stacked Area Chart,Retrieve Value,4227
40,4,3,What was the number of girls named 'Amelia' in 2010 in UK?,StackedAreaChart_Prompt_v4.txt,o1,StackedArea.csv,Stacked Area Chart,Retrieve Value,4227
40,4,4,What was the number of girls named 'Amelia' in 2010 in UK?,StackedAreaChart_Prompt_v4.txt,o1-mini,StackedArea.csv,Stacked Area Chart,Retrieve Value,4227
40,5,1,What was the number of girls named 'Amelia' in 2010 in UK?,StackedAreaChart_Prompt_v5.txt,gpt-4o,StackedArea.csv,Stacked Area Chart,Retrieve Value,4227
40,5,2,What was the number of girls named 'Amelia' in 2010 in UK?,StackedAreaChart_Prompt_v5.txt,gpt-4o-mini,StackedArea.csv,Stacked Area Chart,Retrieve Value,4227
40,5,3,What was the number of girls named 'Amelia' in 2010 in UK?,StackedAreaChart_Prompt_v5.txt,o1,StackedArea.csv,Stacked Area Chart,Retrieve Value,4227
40,5,4,What was the number of girls named 'Amelia' in 2010 in UK?,StackedAreaChart_Prompt_v5.txt,o1-mini,StackedArea.csv,Stacked Area Chart,Retrieve Value,4227
41,1,1,About what was the ratio of the number of girls named 'Olivia' to those named 'Isla' in 2014 in UK (up to two decimals)?,StackedAreaChart_Prompt_v1.txt,gpt-4o,StackedArea.csv,Stacked Area Chart,Retrieve Value,1.18
41,1,2,About what was the ratio of the number of girls named 'Olivia' to those named 'Isla' in 2014 in UK (up to two decimals)?,StackedAreaChart_Prompt_v1.txt,gpt-4o-mini,StackedArea.csv,Stacked Area Chart,Retrieve Value,1.18
41,1,3,About what was the ratio of the number of girls named 'Olivia' to those named 'Isla' in 2014 in UK (up to two decimals)?,StackedAreaChart_Prompt_v1.txt,o1,StackedArea.csv,Stacked Area Chart,Retrieve Value,1.18
41,1,4,About what was the ratio of the number of girls named 'Olivia' to those named 'Isla' in 2014 in UK (up to two decimals)?,StackedAreaChart_Prompt_v1.txt,o1-mini,StackedArea.csv,Stacked Area Chart,Retrieve Value,1.18
41,2,1,About what was the ratio of the number of girls named 'Olivia' to those named 'Isla' in 2014 in UK (up to two decimals)?,StackedAreaChart_Prompt_v2.txt,gpt-4o,StackedArea.csv,Stacked Area Chart,Retrieve Value,1.18
41,2,2,About what was the ratio of the number of girls named 'Olivia' to those named 'Isla' in 2014 in UK (up to two decimals)?,StackedAreaChart_Prompt_v2.txt,gpt-4o-mini,StackedArea.csv,Stacked Area Chart,Retrieve Value,1.18
41,2,3,About what was the ratio of the number of girls named 'Olivia' to those named 'Isla' in 2014 in UK (up to two decimals)?,StackedAreaChart_Prompt_v2.txt,o1,StackedArea.csv,Stacked Area Chart,Retrieve Value,1.18
41,2,4,About what was the ratio of the number of girls named 'Olivia' to those named 'Isla' in 2014 in UK (up to two decimals)?,StackedAreaChart_Prompt_v2.txt,o1-mini,StackedArea.csv,Stacked Area Chart,Retrieve Value,1.18
41,3,1,About what was the ratio of the number of girls named 'Olivia' to those named 'Isla' in 2014 in UK (up to two decimals)?,StackedAreaChart_Prompt_v3.txt,gpt-4o,StackedArea.csv,Stacked Area Chart,Retrieve Value,1.18
41,3,2,About what was the ratio of the number of girls named 'Olivia' to those named 'Isla' in 2014 in UK (up to two decimals)?,StackedAreaChart_Prompt_v3.txt,gpt-4o-mini,StackedArea.csv,Stacked Area Chart,Retrieve Value,1.18
41,3,3,About what was the ratio of the number of girls named 'Olivia' to those named 'Isla' in 2014 in UK (up to two decimals)?,StackedAreaChart_Prompt_v3.txt,o1,StackedArea.csv,Stacked Area Chart,Retrieve Value,1.18
41,3,4,About what was the ratio of the number of girls named 'Olivia' to those named 'Isla' in 2014 in UK (up to two decimals)?,StackedAreaChart_Prompt_v3.txt,o1-mini,StackedArea.csv,Stacked Area Chart,Retrieve Value,1.18
41,4,1,About what was the ratio of the number of girls named 'Olivia' to those named 'Isla' in 2014 in UK (up to two decimals)?,StackedAreaChart_Prompt_v4.txt,gpt-4o,StackedArea.csv,Stacked Area Chart,Retrieve Value,1.18
41,4,2,About what was the ratio of the number of girls named 'Olivia' to those named 'Isla' in 2014 in UK (up to two decimals)?,StackedAreaChart_Prompt_v4.txt,gpt-4o-mini,StackedArea.csv,Stacked Area Chart,Retrieve Value,1.18
41,4,3,About what was the ratio of the number of girls named 'Olivia' to those named 'Isla' in 2014 in UK (up to two decimals)?,StackedAreaChart_Prompt_v4.txt,o1,StackedArea.csv,Stacked Area Chart,Retrieve Value,1.18
41,4,4,About what was the ratio of the number of girls named 'Olivia' to those named 'Isla' in 2014 in UK (up to two decimals)?,StackedAreaChart_Prompt_v4.txt,o1-mini,StackedArea.csv,Stacked Area Chart,Retrieve Value,1.18
41,5,1,About what was the ratio of the number of girls named 'Olivia' to those named 'Isla' in 2014 in UK (up to two decimals)?,StackedAreaChart_Prompt_v5.txt,gpt-4o,StackedArea.csv,Stacked Area Chart,Retrieve Value,1.18
41,5,2,About what was the ratio of the number of girls named 'Olivia' to those named 'Isla' in 2014 in UK (up to two decimals)?,StackedAreaChart_Prompt_v5.txt,gpt-4o-mini,StackedArea.csv,Stacked Area Chart,Retrieve Value,1.18
41,5,3,About what was the ratio of the number of girls named 'Olivia' to those named 'Isla' in 2014 in UK (up to two decimals)?,StackedAreaChart_Prompt_v5.txt,o1,StackedArea.csv,Stacked Area Chart,Retrieve Value,1.18
41,5,4,About what was the ratio of the number of girls named 'Olivia' to those named 'Isla' in 2014 in UK (up to two decimals)?,StackedAreaChart_Prompt_v5.txt,o1-mini,StackedArea.csv,Stacked Area Chart,Retrieve Value,1.18
42,1,1,"Over the course of years between 2009 and 2014, when was the number of girls named 'Amelia' at the maximum?",StackedAreaChart_Prompt_v1.txt,gpt-4o,StackedArea.csv,Stacked Area Chart,Find Extremum,2012
