Question_item,Instruction Prompt_Item,Model_Item,Question,Instruction Prompt,Model,Dataset,Visualization,Task,Question_Answer
1,1,1,What was the price of a barrel of oil in February 2020?,LineChart_Prompt_v1.txt,gpt-4o,LineChart.csv,Line Chart,Retrieve Value,50.54
1,1,2,What was the price of a barrel of oil in February 2020?,LineChart_Prompt_v1.txt,gpt-4o-mini,LineChart.csv,Line Chart,Retrieve Value,50.54
1,1,3,What was the price of a barrel of oil in February 2020?,LineChart_Prompt_v1.txt,o1-preview,LineChart.csv,Line Chart,Retrieve Value,50.54
1,1,4,What was the price of a barrel of oil in February 2020?,LineChart_Prompt_v1.txt,o1-mini,LineChart.csv,Line Chart,Retrieve Value,50.54
1,2,1,What was the price of a barrel of oil in February 2020?,LineChart_Prompt_v2.txt,gpt-4o,LineChart.csv,Line Chart,Retrieve Value,50.54
1,2,2,What was the price of a barrel of oil in February 2020?,LineChart_Prompt_v2.txt,gpt-4o-mini,LineChart.csv,Line Chart,Retrieve Value,50.54
1,2,3,What was the price of a barrel of oil in February 2020?,LineChart_Prompt_v2.txt,o1-preview,LineChart.csv,Line Chart,Retrieve Value,50.54
1,2,4,What was the price of a barrel of oil in February 2020?,LineChart_Prompt_v2.txt,o1-mini,LineChart.csv,Line Chart,Retrieve Value,50.54
1,3,1,What was the price of a barrel of oil in February 2020?,LineChart_Prompt_v3.txt,gpt-4o,LineChart.csv,Line Chart,Retrieve Value,50.54
1,3,2,What was the price of a barrel of oil in February 2020?,LineChart_Prompt_v3.txt,gpt-4o-mini,LineChart.csv,Line Chart,Retrieve Value,50.54
1,3,3,What was the price of a barrel of oil in February 2020?,LineChart_Prompt_v3.txt,o1-preview,LineChart.csv,Line Chart,Retrieve Value,50.54
1,3,4,What was the price of a barrel of oil in February 2020?,LineChart_Prompt_v3.txt,o1-mini,LineChart.csv,Line Chart,Retrieve Value,50.54
1,4,1,What was the price of a barrel of oil in February 2020?,LineChart_Prompt_v4.txt,gpt-4o,LineChart.csv,Line Chart,Retrieve Value,50.54
1,4,2,What was the price of a barrel of oil in February 2020?,LineChart_Prompt_v4.txt,gpt-4o-mini,LineChart.csv,Line Chart,Retrieve Value,50.54
1,4,3,What was the price of a barrel of oil in February 2020?,LineChart_Prompt_v4.txt,o1-preview,LineChart.csv,Line Chart,Retrieve Value,50.54
1,4,4,What was the price of a barrel of oil in February 2020?,LineChart_Prompt_v4.txt,o1-mini,LineChart.csv,Line Chart,Retrieve Value,50.54
1,5,1,What was the price of a barrel of oil in February 2020?,LineChart_Prompt_v5.txt,gpt-4o,LineChart.csv,Line Chart,Retrieve Value,50.54
1,5,2,What was the price of a barrel of oil in February 2020?,LineChart_Prompt_v5.txt,gpt-4o-mini,LineChart.csv,Line Chart,Retrieve Value,50.54
1,5,3,What was the price of a barrel of oil in February 2020?,LineChart_Prompt_v5.txt,o1-preview,LineChart.csv,Line Chart,Retrieve Value,50.54
1,5,4,What was the price of a barrel of oil in February 2020?,LineChart_Prompt_v5.txt,o1-mini,LineChart.csv,Line Chart,Retrieve Value,50.54
