Question_item,Instruction Prompt_Item,Model_Item,Question,Instruction Prompt,Model,Dataset,Visualization,Task,Question_Answer
16,1,1,What percentage of medals won by Japanese athletes are bronze?,NormalizedStackedBarChart_Prompt_v1.txt,gpt-4o,100StackedBarGraph.csv,100% Stacked Bar Chart,Retrieve Value,29.3
16,1,2,What percentage of medals won by Japanese athletes are bronze?,NormalizedStackedBarChart_Prompt_v1.txt,gpt-4o-mini,100StackedBarGraph.csv,100% Stacked Bar Chart,Retrieve Value,29.3
16,1,3,What percentage of medals won by Japanese athletes are bronze?,NormalizedStackedBarChart_Prompt_v1.txt,o1,100StackedBarGraph.csv,100% Stacked Bar Chart,Retrieve Value,29.3
16,1,4,What percentage of medals won by Japanese athletes are bronze?,NormalizedStackedBarChart_Prompt_v1.txt,o1-mini,100StackedBarGraph.csv,100% Stacked Bar Chart,Retrieve Value,29.3
16,2,1,What percentage of medals won by Japanese athletes are bronze?,NormalizedStackedBarChart_Prompt_v2.txt,gpt-4o,100StackedBarGraph.csv,100% Stacked Bar Chart,Retrieve Value,29.3
16,2,2,What percentage of medals won by Japanese athletes are bronze?,NormalizedStackedBarChart_Prompt_v2.txt,gpt-4o-mini,100StackedBarGraph.csv,100% Stacked Bar Chart,Retrieve Value,29.3
16,2,3,What percentage of medals won by Japanese athletes are bronze?,NormalizedStackedBarChart_Prompt_v2.txt,o1,100StackedBarGraph.csv,100% Stacked Bar Chart,Retrieve Value,29.3
16,2,4,What percentage of medals won by Japanese athletes are bronze?,NormalizedStackedBarChart_Prompt_v2.txt,o1-mini,100StackedBarGraph.csv,100% Stacked Bar Chart,Retrieve Value,29.3
16,3,1,What percentage of medals won by Japanese athletes are bronze?,NormalizedStackedBarChart_Prompt_v3.txt,gpt-4o,100StackedBarGraph.csv,100% Stacked Bar Chart,Retrieve Value,29.3
16,3,2,What percentage of medals won by Japanese athletes are bronze?,NormalizedStackedBarChart_Prompt_v3.txt,gpt-4o-mini,100StackedBarGraph.csv,100% Stacked Bar Chart,Retrieve Value,29.3
16,3,3,What percentage of medals won by Japanese athletes are bronze?,NormalizedStackedBarChart_Prompt_v3.txt,o1,100StackedBarGraph.csv,100% Stacked Bar Chart,Retrieve Value,29.3
16,3,4,What percentage of medals won by Japanese athletes are bronze?,NormalizedStackedBarChart_Prompt_v3.txt,o1-mini,100StackedBarGraph.csv,100% Stacked Bar Chart,Retrieve Value,29.3
16,4,1,What percentage of medals won by Japanese athletes are bronze?,NormalizedStackedBarChart_Prompt_v4.txt,gpt-4o,100StackedBarGraph.csv,100% Stacked Bar Chart,Retrieve Value,29.3
