Question_item,Instruction Prompt_Item,Model_Item,Question,Instruction Prompt,Model,Dataset,Visualization,Task,Question_Answer
10,1,1,What is the cost of peanuts in Oslo?,StackedBarChart_Prompt_v1.txt,gpt-4o,StackedBarGraph.csv,Stacked Bar Chart,Retrieve Value,15.8
10,1,2,What is the cost of peanuts in Oslo?,StackedBarChart_Prompt_v1.txt,gpt-4o-mini,StackedBarGraph.csv,Stacked Bar Chart,Retrieve Value,15.8
10,1,3,What is the cost of peanuts in Oslo?,StackedBarChart_Prompt_v1.txt,o1,StackedBarGraph.csv,Stacked Bar Chart,Retrieve Value,15.8
10,1,4,What is the cost of peanuts in Oslo?,StackedBarChart_Prompt_v1.txt,o1-mini,StackedBarGraph.csv,Stacked Bar Chart,Retrieve Value,15.8
10,2,1,What is the cost of peanuts in Oslo?,StackedBarChart_Prompt_v2.txt,gpt-4o,StackedBarGraph.csv,Stacked Bar Chart,Retrieve Value,15.8
10,2,2,What is the cost of peanuts in Oslo?,StackedBarChart_Prompt_v2.txt,gpt-4o-mini,StackedBarGraph.csv,Stacked Bar Chart,Retrieve Value,15.8
10,2,3,What is the cost of peanuts in Oslo?,StackedBarChart_Prompt_v2.txt,o1,StackedBarGraph.csv,Stacked Bar Chart,Retrieve Value,15.8
10,2,4,What is the cost of peanuts in Oslo?,StackedBarChart_Prompt_v2.txt,o1-mini,StackedBarGraph.csv,Stacked Bar Chart,Retrieve Value,15.8
10,3,1,What is the cost of peanuts in Oslo?,StackedBarChart_Prompt_v3.txt,gpt-4o,StackedBarGraph.csv,Stacked Bar Chart,Retrieve Value,15.8
10,3,2,What is the cost of peanuts in Oslo?,StackedBarChart_Prompt_v3.txt,gpt-4o-mini,StackedBarGraph.csv,Stacked Bar Chart,Retrieve Value,15.8
10,3,3,What is the cost of peanuts in Oslo?,StackedBarChart_Prompt_v3.txt,o1,StackedBarGraph.csv,Stacked Bar Chart,Retrieve Value,15.8
10,3,4,What is the cost of peanuts in Oslo?,StackedBarChart_Prompt_v3.txt,o1-mini,StackedBarGraph.csv,Stacked Bar Chart,Retrieve Value,15.8
10,4,1,What is the cost of peanuts in Oslo?,StackedBarChart_Prompt_v4.txt,gpt-4o,StackedBarGraph.csv,Stacked Bar Chart,Retrieve Value,15.8
10,4,2,What is the cost of peanuts in Oslo?,StackedBarChart_Prompt_v4.txt,gpt-4o-mini,StackedBarGraph.csv,Stacked Bar Chart,Retrieve Value,15.8
10,4,3,What is the cost of peanuts in Oslo?,StackedBarChart_Prompt_v4.txt,o1,StackedBarGraph.csv,Stacked Bar Chart,Retrieve Value,15.8
10,4,4,What is the cost of peanuts in Oslo?,StackedBarChart_Prompt_v4.txt,o1-mini,StackedBarGraph.csv,Stacked Bar Chart,Retrieve Value,15.8
10,5,1,What is the cost of peanuts in Oslo?,StackedBarChart_Prompt_v5.txt,gpt-4o,StackedBarGraph.csv,Stacked Bar Chart,Retrieve Value,15.8
10,5,2,What is the cost of peanuts in Oslo?,StackedBarChart_Prompt_v5.txt,gpt-4o-mini,StackedBarGraph.csv,Stacked Bar Chart,Retrieve Value,15.8
10,5,3,What is the cost of peanuts in Oslo?,StackedBarChart_Prompt_v5.txt,o1,StackedBarGraph.csv,Stacked Bar Chart,Retrieve Value,15.8
10,5,4,What is the cost of peanuts in Oslo?,StackedBarChart_Prompt_v5.txt,o1-mini,StackedBarGraph.csv,Stacked Bar Chart,Retrieve Value,15.8
11,1,1,About what (2 decimals) is the ratio of the cost of a sandwich to the total cost of room service in Toronto?,StackedBarChart_Prompt_v1.txt,gpt-4o,StackedBarGraph.csv,Stacked Bar Chart,Retrieve Value,0.37
11,1,2,About what (2 decimals) is the ratio of the cost of a sandwich to the total cost of room service in Toronto?,StackedBarChart_Prompt_v1.txt,gpt-4o-mini,StackedBarGraph.csv,Stacked Bar Chart,Retrieve Value,0.37
11,1,3,About what (2 decimals) is the ratio of the cost of a sandwich to the total cost of room service in Toronto?,StackedBarChart_Prompt_v1.txt,o1,StackedBarGraph.csv,Stacked Bar Chart,Retrieve Value,0.37
11,1,4,About what (2 decimals) is the ratio of the cost of a sandwich to the total cost of room service in Toronto?,StackedBarChart_Prompt_v1.txt,o1-mini,StackedBarGraph.csv,Stacked Bar Chart,Retrieve Value,0.37
11,2,1,About what (2 decimals) is the ratio of the cost of a sandwich to the total cost of room service in Toronto?,StackedBarChart_Prompt_v2.txt,gpt-4o,StackedBarGraph.csv,Stacked Bar Chart,Retrieve Value,0.37
11,2,2,About what (2 decimals) is the ratio of the cost of a sandwich to the total cost of room service in Toronto?,StackedBarChart_Prompt_v2.txt,gpt-4o-mini,StackedBarGraph.csv,Stacked Bar Chart,Retrieve Value,0.37
11,2,3,About what (2 decimals) is the ratio of the cost of a sandwich to the total cost of room service in Toronto?,StackedBarChart_Prompt_v2.txt,o1,StackedBarGraph.csv,Stacked Bar Chart,Retrieve Value,0.37
11,2,4,About what (2 decimals) is the ratio of the cost of a sandwich to the total cost of room service in Toronto?,StackedBarChart_Prompt_v2.txt,o1-mini,StackedBarGraph.csv,Stacked Bar Chart,Retrieve Value,0.37
11,3,1,About what (2 decimals) is the ratio of the cost of a sandwich to the total cost of room service in Toronto?,StackedBarChart_Prompt_v3.txt,gpt-4o,StackedBarGraph.csv,Stacked Bar Chart,Retrieve Value,0.37
11,3,2,About what (2 decimals) is the ratio of the cost of a sandwich to the total cost of room service in Toronto?,StackedBarChart_Prompt_v3.txt,gpt-4o-mini,StackedBarGraph.csv,Stacked Bar Chart,Retrieve Value,0.37
11,3,3,About what (2 decimals) is the ratio of the cost of a sandwich to the total cost of room service in Toronto?,StackedBarChart_Prompt_v3.txt,o1,StackedBarGraph.csv,Stacked Bar Chart,Retrieve Value,0.37
11,3,4,About what (2 decimals) is the ratio of the cost of a sandwich to the total cost of room service in Toronto?,StackedBarChart_Prompt_v3.txt,o1-mini,StackedBarGraph.csv,Stacked Bar Chart,Retrieve Value,0.37
11,4,1,About what (2 decimals) is the ratio of the cost of a sandwich to the total cost of room service in Toronto?,StackedBarChart_Prompt_v4.txt,gpt-4o,StackedBarGraph.csv,Stacked Bar Chart,Retrieve Value,0.37
11,4,2,About what (2 decimals) is the ratio of the cost of a sandwich to the total cost of room service in Toronto?,StackedBarChart_Prompt_v4.txt,gpt-4o-mini,StackedBarGraph.csv,Stacked Bar Chart,Retrieve Value,0.37
11,4,3,About what (2 decimals) is the ratio of the cost of a sandwich to the total cost of room service in Toronto?,StackedBarChart_Prompt_v4.txt,o1,StackedBarGraph.csv,Stacked Bar Chart,Retrieve Value,0.37
11,4,4,About what (2 decimals) is the ratio of the cost of a sandwich to the total cost of room service in Toronto?,StackedBarChart_Prompt_v4.txt,o1-mini,StackedBarGraph.csv,Stacked Bar Chart,Retrieve Value,0.37
11,5,1,About what (2 decimals) is the ratio of the cost of a sandwich to the total cost of room service in Toronto?,StackedBarChart_Prompt_v5.txt,gpt-4o,StackedBarGraph.csv,Stacked Bar Chart,Retrieve Value,0.37
11,5,2,About what (2 decimals) is the ratio of the cost of a sandwich to the total cost of room service in Toronto?,StackedBarChart_Prompt_v5.txt,gpt-4o-mini,StackedBarGraph.csv,Stacked Bar Chart,Retrieve Value,0.37
11,5,3,About what (2 decimals) is the ratio of the cost of a sandwich to the total cost of room service in Toronto?,StackedBarChart_Prompt_v5.txt,o1,StackedBarGraph.csv,Stacked Bar Chart,Retrieve Value,0.37
11,5,4,About what (2 decimals) is the ratio of the cost of a sandwich to the total cost of room service in Toronto?,StackedBarChart_Prompt_v5.txt,o1-mini,StackedBarGraph.csv,Stacked Bar Chart,Retrieve Value,0.37
12,1,1,In which city is the cost of soda the highest?,StackedBarChart_Prompt_v1.txt,gpt-4o,StackedBarGraph.csv,Stacked Bar Chart,Find Extremum,Seoul
12,1,2,In which city is the cost of soda the highest?,StackedBarChart_Prompt_v1.txt,gpt-4o-mini,StackedBarGraph.csv,Stacked Bar Chart,Find Extremum,Seoul
12,1,3,In which city is the cost of soda the highest?,StackedBarChart_Prompt_v1.txt,o1,StackedBarGraph.csv,Stacked Bar Chart,Find Extremum,Seoul
12,1,4,In which city is the cost of soda the highest?,StackedBarChart_Prompt_v1.txt,o1-mini,StackedBarGraph.csv,Stacked Bar Chart,Find Extremum,Seoul
12,2,1,In which city is the cost of soda the highest?,StackedBarChart_Prompt_v2.txt,gpt-4o,StackedBarGraph.csv,Stacked Bar Chart,Find Extremum,Seoul
12,2,2,In which city is the cost of soda the highest?,StackedBarChart_Prompt_v2.txt,gpt-4o-mini,StackedBarGraph.csv,Stacked Bar Chart,Find Extremum,Seoul
12,2,3,In which city is the cost of soda the highest?,StackedBarChart_Prompt_v2.txt,o1,StackedBarGraph.csv,Stacked Bar Chart,Find Extremum,Seoul
12,2,4,In which city is the cost of soda the highest?,StackedBarChart_Prompt_v2.txt,o1-mini,StackedBarGraph.csv,Stacked Bar Chart,Find Extremum,Seoul
12,3,1,In which city is the cost of soda the highest?,StackedBarChart_Prompt_v3.txt,gpt-4o,StackedBarGraph.csv,Stacked Bar Chart,Find Extremum,Seoul
12,3,2,In which city is the cost of soda the highest?,StackedBarChart_Prompt_v3.txt,gpt-4o-mini,StackedBarGraph.csv,Stacked Bar Chart,Find Extremum,Seoul
